id,price,brand,model,year,title_status,mileage,color
0,6300,toyota,cruiser,2008,clean vehicle,274117,black
1,2899,ford,se,2011,clean vehicle,190552,silver
2,5350,dodge,mpv,2018,clean vehicle,39590,silver
3,25000,ford,door,2014,clean vehicle,64146,blue
4,27700,chevrolet,1500,2018,clean vehicle,6654,red
5,5700,dodge,mpv,2018,clean vehicle,45561,white
6,7300,chevrolet,pk,2010,clean vehicle,149050,black
7,13350,gmc,door,2017,clean vehicle,23525,gray
8,14600,chevrolet,malibu,2018,clean vehicle,9371,silver
9,5250,ford,mpv,2017,clean vehicle,63418,black
10,10400,dodge,coupe,2009,clean vehicle,107856,orange
11,12920,gmc,mpv,2017,clean vehicle,39650,white
12,31900,chevrolet,1500,2018,clean vehicle,22909,black
13,5430,chrysler,wagon,2017,clean vehicle,138650,gray
14,20700,ford,door,2013,clean vehicle,100757,black
15,12710,gmc,door,2017,clean vehicle,25747,white
16,5200,kia,forte,2018,clean vehicle,46194,blue
17,16500,buick,encore,2018,clean vehicle,20002,red
18,5210,ford,mpv,2017,clean vehicle,35714,white
19,38100,ford,door,2013,clean vehicle,54380,gray
20,12520,gmc,door,2017,clean vehicle,30114,white
21,7300,kia,forte,2018,clean vehicle,38823,black
22,15000,chevrolet,door,2015,clean vehicle,61578,black
23,6180,ford,mpv,2017,clean vehicle,46010,blue
24,20800,ford,door,2013,clean vehicle,105510,silver
25,11900,gmc,door,2017,clean vehicle,28040,silver
26,21500,kia,sorento,2020,clean vehicle,11451,blue
27,12000,buick,door,2014,clean vehicle,31039,brown
28,4190,ford,doors,2017,clean vehicle,44174,white
29,13000,ford,chassis,2008,clean vehicle,93698,white
30,12710,gmc,door,2017,clean vehicle,26364,silver
31,18500,infiniti,q70,2016,clean vehicle,71967,gray
32,29800,chevrolet,camaro,1973,clean vehicle,46226,red
33,5330,ford,mpv,2017,clean vehicle,37792,no_color
34,13000,ford,convertible,2003,clean vehicle,58817,gray
35,11900,gmc,door,2017,clean vehicle,27965,black
36,16600,mercedes-benz,vans,2016,clean vehicle,110907,white
37,19200,chevrolet,1500,2018,clean vehicle,2430,white
38,7320,ford,mpv,2017,clean vehicle,32366,gold
39,7000,ford,pk,2003,clean vehicle,176567,white
40,12710,gmc,door,2017,clean vehicle,30049,white
